Date,Close
2004-06-02,"1,124.99"
2004-06-03,"1,116.64"
2004-06-04,"1,122.50"
2004-06-07,"1,140.42"
2004-06-08,"1,142.18"
2004-06-09,"1,131.33"
2004-06-10,"1,136.47"
2004-06-11,"1,136.47"
2004-06-14,"1,125.29"
2004-06-15,"1,132.01"
2004-06-16,"1,133.56"
2004-06-17,"1,132.05"
2004-06-18,"1,135.02"
2004-06-21,"1,130.30"
2004-06-22,"1,134.41"
2004-06-23,"1,144.06"
2004-06-24,"1,140.65"
2004-06-25,"1,134.43"
2004-06-28,"1,133.35"
2004-06-29,"1,136.20"
2004-06-30,"1,140.84"
2004-07-01,"1,128.94"
2004-07-02,"1,125.38"
2004-07-05,"1,125.38"
2004-07-06,"1,116.21"
2004-07-07,"1,118.33"
2004-07-08,"1,109.11"
2004-07-09,"1,112.81"
2004-07-12,"1,114.35"
2004-07-13,"1,115.14"
2004-07-14,"1,111.47"
2004-07-15,"1,106.69"
2004-07-16,"1,101.39"
2004-07-19,"1,100.90"
2004-07-20,"1,108.67"
2004-07-21,"1,093.88"
2004-07-22,"1,096.84"
2004-07-23,"1,086.20"
2004-07-26,"1,084.07"
2004-07-27,"1,094.83"
2004-07-28,"1,095.42"
2004-07-29,"1,100.43"
2004-07-30,"1,101.72"
2004-08-02,"1,106.62"
2004-08-03,"1,099.69"
2004-08-04,"1,098.63"
2004-08-05,"1,080.70"
2004-08-06,"1,063.97"
2004-08-09,"1,065.22"
2004-08-10,"1,079.04"
2004-08-11,"1,075.79"
2004-08-12,"1,063.23"
2004-08-13,"1,064.80"
2004-08-16,"1,079.34"
2004-08-17,"1,081.71"
2004-08-18,"1,095.17"
2004-08-19,"1,091.23"
2004-08-20,"1,098.35"
2004-08-23,"1,095.68"
2004-08-24,"1,096.19"
2004-08-25,"1,104.96"
2004-08-26,"1,105.09"
2004-08-27,"1,107.77"
2004-08-30,"1,099.15"
2004-08-31,"1,104.24"
2004-09-01,"1,105.91"
2004-09-02,"1,118.31"
2004-09-03,"1,113.63"
2004-09-06,"1,113.63"
2004-09-07,"1,121.30"
2004-09-08,"1,116.27"
2004-09-09,"1,118.38"
2004-09-10,"1,123.92"
2004-09-13,"1,125.82"
2004-09-14,"1,128.33"
2004-09-15,"1,120.37"
2004-09-16,"1,123.50"
2004-09-17,"1,128.55"
2004-09-20,"1,122.20"
2004-09-21,"1,129.30"
2004-09-22,"1,113.56"
2004-09-23,"1,108.36"
2004-09-24,"1,110.11"
2004-09-30,"1,114.58"
2004-10-01,"1,131.50"
2004-10-04,"1,135.17"
2004-10-05,"1,134.48"
2004-10-06,"1,142.05"
2004-10-07,"1,130.65"
2004-10-08,"1,122.14"
2004-10-11,"1,124.39"
2004-10-12,"1,121.84"
2004-10-13,"1,113.65"
2004-10-14,"1,103.29"
2004-10-15,"1,108.20"
2004-10-18,"1,114.02"
2004-10-19,"1,103.23"
2004-10-20,"1,103.66"
2004-10-21,"1,106.49"
2004-10-22,"1,095.74"
2004-10-25,"1,094.81"
2004-10-26,"1,111.09"
2004-10-27,"1,125.40"
2004-10-28,"1,127.44"
2004-10-29,"1,130.20"
2004-11-01,"1,130.51"
2004-11-02,"1,130.56"
2004-11-03,"1,143.20"
2004-11-04,"1,161.67"
2004-11-05,"1,166.17"
2004-11-08,"1,164.89"
2004-11-09,"1,164.08"
2004-11-10,"1,162.91"
2004-11-11,"1,173.48"
2004-11-12,"1,184.17"
2004-11-15,"1,183.81"
2004-11-16,"1,175.43"
2004-11-17,"1,181.94"
2004-11-18,"1,183.55"
