destination,date,passengers
AGADIR/AL MASSIRA,2012-12-01,373
AMSTERDAM/SCHIPHOL,2012-12-01,4737
PORTO,2012-12-01,4285
LISBOA,2012-12-01,2277
ENFIDHA-HAMMAMET INTERNATIONAL,2012-12-01,527
DJERBA/ZARZIS,2012-12-01,180
LONDON/CITY,2012-12-01,5987
LONDON HEATHROW,2012-12-01,4502
WIEN-SCHWECHAT,2012-11-01,2530
GENEVA,2012-11-01,2348
ZURICH,2012-11-01,5396
FRANKFURT/MAIN,2012-11-01,4969
MUENCHEN,2012-11-01,6884
SAARBRUECKEN,2012-11-01,1985
KOBENHAVN/KASTRUP,2012-11-01,2945
FUERTEVENTURA,2012-11-01,916
GRAN CANARIA,2012-11-01,1301
TENERIFE SUR/REINA SOFIA,2012-11-01,1431
BARCELONA/EL PRAT,2012-11-01,1191
ADOLFO SUAREZ MADRID-BARAJAS,2012-11-01,1457
MALAGA/COSTA DEL SOL,2012-11-01,708
PALMA DE MALLORCA,2012-11-01,253
NICE-COTE D'AZUR,2012-11-01,1102
PARIS-CHARLES DE GAULLE,2012-11-01,2318
MILANO/MALPENSA,2012-11-01,2155
ROMA/FIUMICINO,2012-11-01,1286
AGADIR/AL MASSIRA,2012-11-01,1085
AMSTERDAM/SCHIPHOL,2012-11-01,5467
PORTO,2012-11-01,3167
LISBOA,2012-11-01,2210
ENFIDHA-HAMMAMET INTERNATIONAL,2012-11-01,847
DJERBA/ZARZIS,2012-11-01,1801
ANTALYA (MIL-CIV),2012-11-01,936
LONDON/CITY,2012-11-01,7352
LONDON HEATHROW,2012-11-01,4628
WIEN-SCHWECHAT,2012-10-01,2774
GENEVA,2012-10-01,2463
ZURICH,2012-10-01,5049
FRANKFURT/MAIN,2012-10-01,4804
MUENCHEN,2012-10-01,6556
SAARBRUECKEN,2012-10-01,1690
KOBENHAVN/KASTRUP,2012-10-01,2607
FUERTEVENTURA,2012-10-01,1110
GRAN CANARIA,2012-10-01,895
TENERIFE SUR/REINA SOFIA,2012-10-01,847
BARCELONA/EL PRAT,2012-10-01,1305
ADOLFO SUAREZ MADRID-BARAJAS,2012-10-01,1524
MALAGA/COSTA DEL SOL,2012-10-01,1047
PALMA DE MALLORCA,2012-10-01,2383
NICE-COTE D'AZUR,2012-10-01,1140
PARIS-CHARLES DE GAULLE,2012-10-01,2434
MILANO/MALPENSA,2012-10-01,2193
ROMA/FIUMICINO,2012-10-01,2012
AGADIR/AL MASSIRA,2012-10-01,1031
AMSTERDAM/SCHIPHOL,2012-10-01,5227
PORTO,2012-10-01,3892
LISBOA,2012-10-01,1895
ENFIDHA-HAMMAMET INTERNATIONAL,2012-10-01,1308
DJERBA/ZARZIS,2012-10-01,1033
ANTALYA (MIL-CIV),2012-10-01,1493
LONDON/CITY,2012-10-01,7326
LONDON HEATHROW,2012-10-01,4406
WIEN-SCHWECHAT,2012-09-01,2576
GENEVA,2012-09-01,2021
ZURICH,2012-09-01,5879
FRANKFURT/MAIN,2012-09-01,5555
MUENCHEN,2012-09-01,6701
SAARBRUECKEN,2012-09-01,1923
KOBENHAVN/KASTRUP,2012-09-01,2635
FUERTEVENTURA,2012-09-01,1130
GRAN CANARIA,2012-09-01,1171
TENERIFE SUR/REINA SOFIA,2012-09-01,1399
BARCELONA/EL PRAT,2012-09-01,1483
ADOLFO SUAREZ MADRID-BARAJAS,2012-09-01,1444
MALAGA/COSTA DEL SOL,2012-09-01,1179
PALMA DE MALLORCA,2012-09-01,6085
NICE-COTE D'AZUR,2012-09-01,1687
PARIS-CHARLES DE GAULLE,2012-09-01,2848
MILANO/MALPENSA,2012-09-01,1837
ROMA/FIUMICINO,2012-09-01,2147
AGADIR/AL MASSIRA,2012-09-01,1151
AMSTERDAM/SCHIPHOL,2012-09-01,6095
PORTO,2012-09-01,5179
LISBOA,2012-09-01,2739
ENFIDHA-HAMMAMET INTERNATIONAL,2012-09-01,1753
DJERBA/ZARZIS,2012-09-01,2606
ANTALYA (MIL-CIV),2012-09-01,2453
LONDON/CITY,2012-09-01,7019
LONDON HEATHROW,2012-09-01,4696
WIEN-SCHWECHAT,2012-08-01,2061
GENEVA,2012-08-01,1225
ZURICH,2012-08-01,4514
FRANKFURT/MAIN,2012-08-01,5387
MUENCHEN,2012-08-01,5539
SAARBRUECKEN,2012-08-01,1984
KOBENHAVN/KASTRUP,2012-08-01,1521
FUERTEVENTURA,2012-08-01,1238
GRAN CANARIA,2012-08-01,1177
TENERIFE SUR/REINA SOFIA,2012-08-01,1587
BARCELONA/EL PRAT,2012-08-01,1714
ADOLFO SUAREZ MADRID-BARAJAS,2012-08-01,985
MALAGA/COSTA DEL SOL,2012-08-01,1295
PALMA DE MALLORCA,2012-08-01,7263
NICE-COTE D'AZUR,2012-08-01,1940
PARIS-CHARLES DE GAULLE,2012-08-01,2225
MILANO/MALPENSA,2012-08-01,1054
ROMA/FIUMICINO,2012-08-01,2310
AGADIR/AL MASSIRA,2012-08-01,1192
AMSTERDAM/SCHIPHOL,2012-08-01,4668
PORTO,2012-08-01,8107
LISBOA,2012-08-01,2876
ENFIDHA-HAMMAMET INTERNATIONAL,2012-08-01,2825
DJERBA/ZARZIS,2012-08-01,5215
ANTALYA (MIL-CIV),2012-08-01,3880
LONDON/CITY,2012-08-01,5624
LONDON HEATHROW,2012-08-01,4723
WIEN-SCHWECHAT,2012-07-01,2389
GENEVA,2012-07-01,2105
ZURICH,2012-07-01,4593
FRANKFURT/MAIN,2012-07-01,4232
MUENCHEN,2012-07-01,5379
SAARBRUECKEN,2012-07-01,1886
KOBENHAVN/KASTRUP,2012-07-01,1335
FUERTEVENTURA,2012-07-01,974
GRAN CANARIA,2012-07-01,778
TENERIFE SUR/REINA SOFIA,2012-07-01,1230
BARCELONA/EL PRAT,2012-07-01,1429
ADOLFO SUAREZ MADRID-BARAJAS,2012-07-01,1235
MALAGA/COSTA DEL SOL,2012-07-01,959
PALMA DE MALLORCA,2012-07-01,6243
NICE-COTE D'AZUR,2012-07-01,1649
PARIS-CHARLES DE GAULLE,2012-07-01,2032
MILANO/MALPENSA,2012-07-01,1402
ROMA/FIUMICINO,2012-07-01,1850
AGADIR/AL MASSIRA,2012-07-01,1020
AMSTERDAM/SCHIPHOL,2012-07-01,4850
PORTO,2012-07-01,3479
LISBOA,2012-07-01,1964
ENFIDHA-HAMMAMET INTERNATIONAL,2012-07-01,2332
DJERBA/ZARZIS,2012-07-01,4535
ANTALYA (MIL-CIV),2012-07-01,3054
LONDON/CITY,2012-07-01,6355
LONDON HEATHROW,2012-07-01,4110
WIEN-SCHWECHAT,2012-06-01,2968
GENEVA,2012-06-01,2809
ZURICH,2012-06-01,5555
FRANKFURT/MAIN,2012-06-01,5100
MUENCHEN,2012-06-01,6503
SAARBRUECKEN,2012-06-01,1621
KOBENHAVN/KASTRUP,2012-06-01,2970
FUERTEVENTURA,2012-06-01,861
GRAN CANARIA,2012-06-01,1317
TENERIFE SUR/REINA SOFIA,2012-06-01,303
BARCELONA/EL PRAT,2012-06-01,1325
ADOLFO SUAREZ MADRID-BARAJAS,2012-06-01,1370
MALAGA/COSTA DEL SOL,2012-06-01,1379
PALMA DE MALLORCA,2012-06-01,5385
NICE-COTE D'AZUR,2012-06-01,1738
PARIS-CHARLES DE GAULLE,2012-06-01,2446
MILANO/MALPENSA,2012-06-01,1392
ROMA/FIUMICINO,2012-06-01,1767
AGADIR/AL MASSIRA,2012-06-01,973
AMSTERDAM/SCHIPHOL,2012-06-01,5034
PORTO,2012-06-01,3082
LISBOA,2012-06-01,1991
ENFIDHA-HAMMAMET INTERNATIONAL,2012-06-01,1041
DJERBA/ZARZIS,2012-06-01,1649
ANTALYA (MIL-CIV),2012-06-01,1027
LONDON/CITY,2012-06-01,7011
LONDON HEATHROW,2012-06-01,4419
WIEN-SCHWECHAT,2012-05-01,2565
GENEVA,2012-05-01,2544
ZURICH,2012-05-01,5411
FRANKFURT/MAIN,2012-05-01,4850
MUENCHEN,2012-05-01,6492
SAARBRUECKEN,2012-05-01,1870
KOBENHAVN/KASTRUP,2012-05-01,2511
FUERTEVENTURA,2012-05-01,966
GRAN CANARIA,2012-05-01,1012
TENERIFE SUR/REINA SOFIA,2012-05-01,735
BARCELONA/EL PRAT,2012-05-01,1224
ADOLFO SUAREZ MADRID-BARAJAS,2012-05-01,1327
MALAGA/COSTA DEL SOL,2012-05-01,1482
PALMA DE MALLORCA,2012-05-01,2811
NICE-COTE D'AZUR,2012-05-01,1606
PARIS-CHARLES DE GAULLE,2012-05-01,2299
MILANO/MALPENSA,2012-05-01,1531
ROMA/FIUMICINO,2012-05-01,2152
AGADIR/AL MASSIRA,2012-05-01,1199
AMSTERDAM/SCHIPHOL,2012-05-01,4658
PORTO,2012-05-01,3863
LISBOA,2012-05-01,1792
ENFIDHA-HAMMAMET INTERNATIONAL,2012-05-01,1200
DJERBA/ZARZIS,2012-05-01,1279
ANTALYA (MIL-CIV),2012-05-01,782
LONDON/CITY,2012-05-01,7293
LONDON HEATHROW,2012-05-01,4523
WIEN-SCHWECHAT,2012-04-01,2865
GENEVA,2012-04-01,2401
ZURICH,2012-04-01,5601
FRANKFURT/MAIN,2012-04-01,5154
MUENCHEN,2012-04-01,6408
SAARBRUECKEN,2012-04-01,1894
KOBENHAVN/KASTRUP,2012-04-01,2514
FUERTEVENTURA,2012-04-01,1275
GRAN CANARIA,2012-04-01,1046
TENERIFE SUR/REINA SOFIA,2012-04-01,1397
BARCELONA/EL PRAT,2012-04-01,1389
ADOLFO SUAREZ MADRID-BARAJAS,2012-04-01,1420
MALAGA/COSTA DEL SOL,2012-04-01,1118
PALMA DE MALLORCA,2012-04-01,1910
NICE-COTE D'AZUR,2012-04-01,1410
PARIS-CHARLES DE GAULLE,2012-04-01,2634
MILANO/MALPENSA,2012-04-01,1309
ROMA/FIUMICINO,2012-04-01,2119
AGADIR/AL MASSIRA,2012-04-01,1063
AMSTERDAM/SCHIPHOL,2012-04-01,4905
PORTO,2012-04-01,4416
LISBOA,2012-04-01,2034
ENFIDHA-HAMMAMET INTERNATIONAL,2012-04-01,1213
DJERBA/ZARZIS,2012-04-01,2279
ANTALYA (MIL-CIV),2012-04-01,1019
LONDON/CITY,2012-04-01,6967
LONDON HEATHROW,2012-04-01,4226
WIEN-SCHWECHAT,2012-03-01,2468
GENEVA,2012-03-01,2728
ZURICH,2012-03-01,5381
FRANKFURT/MAIN,2012-03-01,4626
MUENCHEN,2012-03-01,5455
SAARBRUECKEN,2012-03-01,1584
KOBENHAVN/KASTRUP,2012-03-01,2429
FUERTEVENTURA,2012-03-01,1021
GRAN CANARIA,2012-03-01,861
TENERIFE SUR/REINA SOFIA,2012-03-01,1232
BARCELONA/EL PRAT,2012-03-01,1010
ADOLFO SUAREZ MADRID-BARAJAS,2012-03-01,1297
MALAGA/COSTA DEL SOL,2012-03-01,749
PALMA DE MALLORCA,2012-03-01,466
NICE-COTE D'AZUR,2012-03-01,1126
PARIS-CHARLES DE GAULLE,2012-03-01,2418
MILANO/MALPENSA,2012-03-01,1491
ROMA/FIUMICINO,2012-03-01,1227
AGADIR/AL MASSIRA,2012-03-01,981
AMSTERDAM/SCHIPHOL,2012-03-01,4718
PORTO,2012-03-01,4140
LISBOA,2012-03-01,1157
ENFIDHA-HAMMAMET INTERNATIONAL,2012-03-01,697
DJERBA/ZARZIS,2012-03-01,562
ANTALYA (MIL-CIV),2012-03-01,691
LONDON/CITY,2012-03-01,6955
LONDON HEATHROW,2012-03-01,4178
WIEN-SCHWECHAT,2012-02-01,2009
GENEVA,2012-02-01,2077
ZURICH,2012-02-01,4841
FRANKFURT/MAIN,2012-02-01,3516
MUENCHEN,2012-02-01,4714
SAARBRUECKEN,2012-02-01,1412
KOBENHAVN/KASTRUP,2012-02-01,1889
FUERTEVENTURA,2012-02-01,666
GRAN CANARIA,2012-02-01,1129
TENERIFE SUR/REINA SOFIA,2012-02-01,1425
BARCELONA/EL PRAT,2012-02-01,817
ADOLFO SUAREZ MADRID-BARAJAS,2012-02-01,1193
MALAGA/COSTA DEL SOL,2012-02-01,515
PALMA DE MALLORCA,2012-02-01,179
NICE-COTE D'AZUR,2012-02-01,852
PARIS-CHARLES DE GAULLE,2012-02-01,2050
MILANO/MALPENSA,2012-02-01,1278
ROMA/FIUMICINO,2012-02-01,1018
AGADIR/AL MASSIRA,2012-02-01,774
AMSTERDAM/SCHIPHOL,2012-02-01,3804
PORTO,2012-02-01,3726
LISBOA,2012-02-01,950
ENFIDHA-HAMMAMET INTERNATIONAL,2012-02-01,560
DJERBA/ZARZIS,2012-02-01,786
ANTALYA (MIL-CIV),2012-02-01,333
LONDON/CITY,2012-02-01,6269
LONDON HEATHROW,2012-02-01,3593
WIEN-SCHWECHAT,2012-01-01,1814
GENEVA,2012-01-01,1488
ZURICH,2012-01-01,4808
FRANKFURT/MAIN,2012-01-01,4373
MUENCHEN,2012-01-01,4613
SAARBRUECKEN,2012-01-01,1313
KOBENHAVN/KASTRUP,2012-01-01,1577
FUERTEVENTURA,2012-01-01,676
GRAN CANARIA,2012-01-01,1381
TENERIFE SUR/REINA SOFIA,2012-01-01,823
BARCELONA/EL PRAT,2012-01-01,651
ADOLFO SUAREZ MADRID-BARAJAS,2012-01-01,1403
MALAGA/COSTA DEL SOL,2012-01-01,323
PALMA DE MALLORCA,2012-01-01,0
NICE-COTE D'AZUR,2012-01-01,951
PARIS-CHARLES DE GAULLE,2012-01-01,2449
MILANO/MALPENSA,2012-01-01,1214
ROMA/FIUMICINO,2012-01-01,1024
AGADIR/AL MASSIRA,2012-01-01,482
AMSTERDAM/SCHIPHOL,2012-01-01,4187
PORTO,2012-01-01,4803
LISBOA,2012-01-01,1570
DJERBA/ZARZIS,2012-01-01,477
LONDON/CITY,2012-01-01,5789
LONDON HEATHROW,2012-01-01,3355
WIEN-SCHWECHAT,2011-12-01,2237
GENEVA,2011-12-01,1124
ZURICH,2011-12-01,5171
FRANKFURT/MAIN,2011-12-01,4557
MUENCHEN,2011-12-01,4919
SAARBRUECKEN,2011-12-01,1625
KOBENHAVN/KASTRUP,2011-12-01,1776
FUERTEVENTURA,2011-12-01,392
GRAN CANARIA,2011-12-01,1039
TENERIFE SUR/REINA SOFIA,2011-12-01,929
BARCELONA/EL PRAT,2011-12-01,645
ADOLFO SUAREZ MADRID-BARAJAS,2011-12-01,1035
PALMA DE MALLORCA,2011-12-01,0
NICE-COTE D'AZUR,2011-12-01,1023
PARIS-CHARLES DE GAULLE,2011-12-01,2236
MILANO/MALPENSA,2011-12-01,1125
ROMA/FIUMICINO,2011-12-01,1241
AGADIR/AL MASSIRA,2011-12-01,437
AMSTERDAM/SCHIPHOL,2011-12-01,4307
PORTO,2011-12-01,4754
LISBOA,2011-12-01,1367
ENFIDHA ZINE EL ABIDINE BEN ALI,2011-12-01,300
DJERBA/ZARZIS,2011-12-01,241
LONDON/CITY,2011-12-01,6445
LONDON HEATHROW,2011-12-01,4625
WIEN-SCHWECHAT,2011-11-01,2420
GENEVA,2011-11-01,1630
ZURICH,2011-11-01,5533
FRANKFURT/MAIN,2011-11-01,5063
MUENCHEN,2011-11-01,5679
SAARBRUECKEN,2011-11-01,1929
KOBENHAVN/KASTRUP,2011-11-01,2238
FUERTEVENTURA,2011-11-01,948
GRAN CANARIA,2011-11-01,1267
TENERIFE SUR/REINA SOFIA,2011-11-01,1327
BARCELONA/EL PRAT,2011-11-01,991
ADOLFO SUAREZ MADRID-BARAJAS,2011-11-01,1339
PALMA DE MALLORCA,2011-11-01,142
NICE-COTE D'AZUR,2011-11-01,888
PARIS-CHARLES DE GAULLE,2011-11-01,2579
MILANO/MALPENSA,2011-11-01,1472
ROMA/FIUMICINO,2011-11-01,1273
AGADIR/AL MASSIRA,2011-11-01,1075
AMSTERDAM/SCHIPHOL,2011-11-01,4441
PORTO,2011-11-01,4099
LISBOA,2011-11-01,1101
ENFIDHA ZINE EL ABIDINE BEN ALI,2011-11-01,740
DJERBA/ZARZIS,2011-11-01,1197
ANTALYA (MIL-CIV),2011-11-01,635
LONDON/CITY,2011-11-01,6297
LONDON HEATHROW,2011-11-01,4874
WIEN-SCHWECHAT,2011-10-01,2525
GENEVA,2011-10-01,1453
ZURICH,2011-10-01,4972
FRANKFURT/MAIN,2011-10-01,5106
MUENCHEN,2011-10-01,5311
SAARBRUECKEN,2011-10-01,1500
KOBENHAVN/KASTRUP,2011-10-01,2988
IRAKLION/NIKOS KAZANTZAKIS,2011-10-01,927
FUERTEVENTURA,2011-10-01,1099
GRAN CANARIA,2011-10-01,1125
TENERIFE SUR/REINA SOFIA,2011-10-01,1317
BARCELONA/EL PRAT,2011-10-01,1152
ADOLFO SUAREZ MADRID-BARAJAS,2011-10-01,1311
PALMA DE MALLORCA,2011-10-01,2719
NICE-COTE D'AZUR,2011-10-01,1169
PARIS-CHARLES DE GAULLE,2011-10-01,2702
MILANO/MALPENSA,2011-10-01,1428
ROMA/FIUMICINO,2011-10-01,1992
AGADIR/AL MASSIRA,2011-10-01,774
AMSTERDAM/SCHIPHOL,2011-10-01,4688
PORTO,2011-10-01,4013
LISBOA,2011-10-01,1285
ENFIDHA ZINE EL ABIDINE BEN ALI,2011-10-01,1636
DJERBA/ZARZIS,2011-10-01,1672
ANTALYA (MIL-CIV),2011-10-01,2266
LONDON/CITY,2011-10-01,6748
LONDON HEATHROW,2011-10-01,4375
WIEN-SCHWECHAT,2011-09-01,2491
GENEVA,2011-09-01,1576
ZURICH,2011-09-01,5534
FRANKFURT/MAIN,2011-09-01,5514
MUENCHEN,2011-09-01,5344
SAARBRUECKEN,2011-09-01,1694
KOBENHAVN/KASTRUP,2011-09-01,2939
IRAKLION/NIKOS KAZANTZAKIS,2011-09-01,1736
FUERTEVENTURA,2011-09-01,1203
GRAN CANARIA,2011-09-01,1030
TENERIFE SUR/REINA SOFIA,2011-09-01,1342
BARCELONA/EL PRAT,2011-09-01,1354
ADOLFO SUAREZ MADRID-BARAJAS,2011-09-01,1338
PALMA DE MALLORCA,2011-09-01,4709
NICE-COTE D'AZUR,2011-09-01,1644
PARIS-CHARLES DE GAULLE,2011-09-01,2866
MILANO/MALPENSA,2011-09-01,1422
ROMA/FIUMICINO,2011-09-01,2140
AGADIR/AL MASSIRA,2011-09-01,1120
AMSTERDAM/SCHIPHOL,2011-09-01,5096
PORTO,2011-09-01,5412
LISBOA,2011-09-01,1871
ENFIDHA ZINE EL ABIDINE BEN ALI,2011-09-01,1257
DJERBA/ZARZIS,2011-09-01,1426
ANTALYA (MIL-CIV),2011-09-01,2613
LONDON/CITY,2011-09-01,6538
LONDON HEATHROW,2011-09-01,4767
WIEN-SCHWECHAT,2011-08-01,2043
GENEVA,2011-08-01,860
ZURICH,2011-08-01,4608
FRANKFURT/MAIN,2011-08-01,5505
MUENCHEN,2011-08-01,4297
SAARBRUECKEN,2011-08-01,1893
KOBENHAVN/KASTRUP,2011-08-01,1854
IRAKLION/NIKOS KAZANTZAKIS,2011-08-01,1936
FUERTEVENTURA,2011-08-01,1015
GRAN CANARIA,2011-08-01,1190
TENERIFE SUR/REINA SOFIA,2011-08-01,1545
BARCELONA/EL PRAT,2011-08-01,1600
ADOLFO SUAREZ MADRID-BARAJAS,2011-08-01,1061
PALMA DE MALLORCA,2011-08-01,6513
NICE-COTE D'AZUR,2011-08-01,1920
PARIS-CHARLES DE GAULLE,2011-08-01,2166
MILANO/MALPENSA,2011-08-01,719
ROMA/FIUMICINO,2011-08-01,2022
AGADIR/AL MASSIRA,2011-08-01,1193
AMSTERDAM/SCHIPHOL,2011-08-01,4351
PORTO,2011-08-01,7486
LISBOA,2011-08-01,2177
ENFIDHA ZINE EL ABIDINE BEN ALI,2011-08-01,1551
DJERBA/ZARZIS,2011-08-01,2691
ANTALYA (MIL-CIV),2011-08-01,4614
LONDON/CITY,2011-08-01,5673
LONDON HEATHROW,2011-08-01,4515
WIEN-SCHWECHAT,2011-07-01,2219
GENEVA,2011-07-01,1186
ZURICH,2011-07-01,4617
FRANKFURT/MAIN,2011-07-01,4155
MUENCHEN,2011-07-01,4238
SAARBRUECKEN,2011-07-01,1688
KOBENHAVN/KASTRUP,2011-07-01,1900
IRAKLION/NIKOS KAZANTZAKIS,2011-07-01,1837
FUERTEVENTURA,2011-07-01,948
GRAN CANARIA,2011-07-01,1063
TENERIFE SUR/REINA SOFIA,2011-07-01,1328
BARCELONA/EL PRAT,2011-07-01,1368
ADOLFO SUAREZ MADRID-BARAJAS,2011-07-01,1087
PALMA DE MALLORCA,2011-07-01,6300
NICE-COTE D'AZUR,2011-07-01,1465
PARIS-CHARLES DE GAULLE,2011-07-01,2182
MILANO/MALPENSA,2011-07-01,1312
ROMA/FIUMICINO,2011-07-01,1656
AGADIR/AL MASSIRA,2011-07-01,949
AMSTERDAM/SCHIPHOL,2011-07-01,4367
PORTO,2011-07-01,3460
LISBOA,2011-07-01,1151
ENFIDHA ZINE EL ABIDINE BEN ALI,2011-07-01,1376
DJERBA/ZARZIS,2011-07-01,2158
ANTALYA (MIL-CIV),2011-07-01,2969
LONDON/CITY,2011-07-01,6483
LONDON HEATHROW,2011-07-01,4279
WIEN-SCHWECHAT,2011-06-01,2507
GENEVA,2011-06-01,1518
ZURICH,2011-06-01,5412
FRANKFURT/MAIN,2011-06-01,4484
MUENCHEN,2011-06-01,4974
SAARBRUECKEN,2011-06-01,1996
KOBENHAVN/KASTRUP,2011-06-01,2817
IRAKLION/NIKOS KAZANTZAKIS,2011-06-01,1414
FUERTEVENTURA,2011-06-01,833
GRAN CANARIA,2011-06-01,1054
TENERIFE SUR/REINA SOFIA,2011-06-01,968
BARCELONA/EL PRAT,2011-06-01,1274
ADOLFO SUAREZ MADRID-BARAJAS,2011-06-01,1309
PALMA DE MALLORCA,2011-06-01,4331
NICE-COTE D'AZUR,2011-06-01,1580
PARIS-CHARLES DE GAULLE,2011-06-01,2616
MILANO/MALPENSA,2011-06-01,1358
ROMA/FIUMICINO,2011-06-01,1963
AGADIR/AL MASSIRA,2011-06-01,698
AMSTERDAM/SCHIPHOL,2011-06-01,4880
PORTO,2011-06-01,3813
LISBOA,2011-06-01,1135
ENFIDHA ZINE EL ABIDINE BEN ALI,2011-06-01,1200
DJERBA/ZARZIS,2011-06-01,559
ANTALYA (MIL-CIV),2011-06-01,1052
LONDON/CITY,2011-06-01,6646
LONDON HEATHROW,2011-06-01,4021
WIEN-SCHWECHAT,2011-05-01,2714
GENEVA,2011-05-01,1593
ZURICH,2011-05-01,5823
FRANKFURT/MAIN,2011-05-01,4935
MUENCHEN,2011-05-01,5302
SAARBRUECKEN,2011-05-01,1776
KOBENHAVN/KASTRUP,2011-05-01,2971
IRAKLION/NIKOS KAZANTZAKIS,2011-05-01,960
FUERTEVENTURA,2011-05-01,976
GRAN CANARIA,2011-05-01,973
TENERIFE SUR/REINA SOFIA,2011-05-01,1241
BARCELONA/EL PRAT,2011-05-01,1168
ADOLFO SUAREZ MADRID-BARAJAS,2011-05-01,1278
PALMA DE MALLORCA,2011-05-01,2977
NICE-COTE D'AZUR,2011-05-01,1307
PARIS-CHARLES DE GAULLE,2011-05-01,2940
MILANO/MALPENSA,2011-05-01,1438
ROMA/FIUMICINO,2011-05-01,1971
AGADIR/AL MASSIRA,2011-05-01,938
AMSTERDAM/SCHIPHOL,2011-05-01,4748
PORTO,2011-05-01,4425
LISBOA,2011-05-01,1254
ENFIDHA ZINE EL ABIDINE BEN ALI,2011-05-01,1214
DJERBA/ZARZIS,2011-05-01,1112
ANTALYA (MIL-CIV),2011-05-01,1505
LONDON/CITY,2011-05-01,6907
LONDON HEATHROW,2011-05-01,4319
WIEN-SCHWECHAT,2011-04-01,2579
GENEVA,2011-04-01,1244
ZURICH,2011-04-01,5357
FRANKFURT/MAIN,2011-04-01,4954
MUENCHEN,2011-04-01,4515
SAARBRUECKEN,2011-04-01,1833
KOBENHAVN/KASTRUP,2011-04-01,2315
IRAKLION/NIKOS KAZANTZAKIS,2011-04-01,274
FUERTEVENTURA,2011-04-01,879
GRAN CANARIA,2011-04-01,1530
TENERIFE SUR/REINA SOFIA,2011-04-01,2035
BARCELONA/EL PRAT,2011-04-01,1216
ADOLFO SUAREZ MADRID-BARAJAS,2011-04-01,1278
PALMA DE MALLORCA,2011-04-01,1535
NICE-COTE D'AZUR,2011-04-01,1270
PARIS-CHARLES DE GAULLE,2011-04-01,2613
MILANO/MALPENSA,2011-04-01,1202
ROMA/FIUMICINO,2011-04-01,2017
AGADIR/AL MASSIRA,2011-04-01,1019
AMSTERDAM/SCHIPHOL,2011-04-01,4607
PORTO,2011-04-01,4494
LISBOA,2011-04-01,1384
ENFIDHA ZINE EL ABIDINE BEN ALI,2011-04-01,1020
DJERBA/ZARZIS,2011-04-01,665
ANTALYA (MIL-CIV),2011-04-01,1216
LONDON/CITY,2011-04-01,6253
LONDON HEATHROW,2011-04-01,3955
WIEN-SCHWECHAT,2011-03-01,2351
GENEVA,2011-03-01,1653
ZURICH,2011-03-01,5467
FRANKFURT/MAIN,2011-03-01,4725
MUENCHEN,2011-03-01,4736
SAARBRUECKEN,2011-03-01,1317
KOBENHAVN/KASTRUP,2011-03-01,2527
FUERTEVENTURA,2011-03-01,879
GRAN CANARIA,2011-03-01,1466
TENERIFE SUR/REINA SOFIA,2011-03-01,2147
BARCELONA/EL PRAT,2011-03-01,944
ADOLFO SUAREZ MADRID-BARAJAS,2011-03-01,1212
PALMA DE MALLORCA,2011-03-01,506
NICE-COTE D'AZUR,2011-03-01,1062
PARIS-CHARLES DE GAULLE,2011-03-01,2602
MILANO/MALPENSA,2011-03-01,1310
ROMA/FIUMICINO,2011-03-01,1448
AGADIR/AL MASSIRA,2011-03-01,1188
AMSTERDAM/SCHIPHOL,2011-03-01,4431
PORTO,2011-03-01,3735
LISBOA,2011-03-01,1196
ENFIDHA ZINE EL ABIDINE BEN ALI,2011-03-01,399
DJERBA/ZARZIS,2011-03-01,674
LONDON/CITY,2011-03-01,7044
LONDON HEATHROW,2011-03-01,637
WIEN-SCHWECHAT,2011-02-01,2673
GENEVA,2011-02-01,1428
ZURICH,2011-02-01,5028
FRANKFURT/MAIN,2011-02-01,5417
MUENCHEN,2011-02-01,338
SAARBRUECKEN,2011-02-01,4280
KOBENHAVN/KASTRUP,2011-02-01,2760
IRAKLION/NIKOS KAZANTZAKIS,2011-02-01,1247
FUERTEVENTURA,2011-02-01,567
GRAN CANARIA,2011-02-01,1153
TENERIFE SUR/REINA SOFIA,2011-02-01,1401
BARCELONA/EL PRAT,2011-02-01,1419
ADOLFO SUAREZ MADRID-BARAJAS,2011-02-01,1388
PALMA DE MALLORCA,2011-02-01,4077
NICE-COTE D'AZUR,2011-02-01,1509
PARIS-CHARLES DE GAULLE,2011-02-01,3022
MILANO/MALPENSA,2011-02-01,1385
ROMA/FIUMICINO,2011-02-01,1706
AGADIR/AL MASSIRA,2011-02-01,1032
AMSTERDAM/SCHIPHOL,2011-02-01,5229
PORTO,2011-02-01,5325
LISBOA,2011-02-01,1480
DJERBA/ZARZIS,2011-02-01,2980
ANTALYA (MIL-CIV),2011-02-01,2129
LONDON/CITY,2011-02-01,6476
WIEN-SCHWECHAT,2011-01-01,1717
GENEVA,2011-01-01,1246
ZURICH,2011-01-01,4508
FRANKFURT/MAIN,2011-01-01,4419
MUENCHEN,2011-01-01,3834
SAARBRUECKEN,2011-01-01,1231
KOBENHAVN/KASTRUP,2011-01-01,1919
FUERTEVENTURA,2011-01-01,705
GRAN CANARIA,2011-01-01,1505
TENERIFE SUR/REINA SOFIA,2011-01-01,927
BARCELONA/EL PRAT,2011-01-01,613
ADOLFO SUAREZ MADRID-BARAJAS,2011-01-01,1209
PALMA DE MALLORCA,2011-01-01,0
